,0
10,"Harallamb Qaqi (born 17 September 1993), is an Albanian professional footballer who plays as a defender for Teuta."
11,"Ernst August Wilhelm Steinhoff (February 11, 1908 – December 2, 1987) was a rocket scientist and member of the ""von Braun rocket group"", at the Peenemünde Army Research Center (1939–1945).  Ernst Steinhoff saw National Socialist (Nazi) doctrines as ""ideals"" and became a member of the NSDAP in May 1937. He was a glider pilot, holding distance records, and had the honorary Luftwaffe rank of ""Flight Captain"".
Ernst Steinhoff earned his PhD at the Technische Hochschule Darmstadt (today Technische Universität Darmstadt) in 1940 with a dissertation on aviation instruments.
His younger brother Friedrich Steinhoff assisted rocket experiments while commanding U-511 in 1942.  Ernst was among the scientists to surrender and travel to the United States to provide rocketry expertise via Operation Paperclip.  Friedrich was captured aboard U-873 and committed suicide in a Boston jail before Ernst came to the United States on the first boat, November 16, 1945. with Operation Paperclip and Fort Bliss, Texas (1945-1949).  He then moved to Holloman Air Force Base where he also worked closely with White Sands Missile Range in New Mexico.  He focused on guidance, control, and range instrumentation throughout his career. He was awarded the Decoration for Exceptional Civilian Service in 1958 for his contributions to the US rocket program. In 1979 he was inducted into the New Mexico International Space Hall of Fame.Steinhoff is being credited as one of the first pioneers to popularize the concept of space resource utilization for Mars exploration. He became the first chairman of Working Group on Extraterrestrial Resources (WGER).
As of 1981, Mrs. Dixie Cantwell of Alamogordo, NM,  was working on researching and writing the biography of ""Alamogordo's well-known scientist, Dr. Ernest A Steinhoff"". The status of said biography, and its progress remains unknown."
12,Malcolm Campbell-Johnston (14 April 1871 – 12 March 1938) was a British barrister and Conservative Party politician.
13,Catherine Havasi (born 1981) is an American scientist who specialises in artificial intelligence (AI) at MIT Media Lab. She is co-founder and CEO of AI company Luminoso. Havasi was a member of the  MIT group engaged in   the  Open Mind Common Sense (also known as OMCS) AI project and that created the natural language AI program ConceptNet.
14,"Elsa Harriet Thulin (née Sachs, born 19 January 1887 in Stockholm, died 29 March 1960 in Stockholm), was a Swedish translator."
15,"Jayne Baker Spain (March 28, 1927 – March 1, 2003) was an American businesswoman. She was appointed to vice-chairman of the United States Civil Service Commission by President Richard Nixon in 1971."
16,Sundernagar Assembly constituency is one of the 68 constituencies in the Himachal Pradesh Legislative Assembly of Himachal Pradesh a northern state of India. Sundernagar is also part of Mandi Lok Sabha constituency.
17,"Computer-to-plate (CTP) is an imaging technology used in modern printing processes. In this technology, an image created in a Desktop Publishing (DTP) application is output directly to a printing plate.

This compares with the older technology, computer-to-film (CTF), where the computer file is output onto a photographic film. This film is then used to make a printing plate, in a similar manner to a contact proof in darkroom photography.

"
18,"Jill Anne Gullahorn (née, Phillips; born February 15, 1976) is an American Christian musician based out of Nashville, Tennessee, who brings a folk rock and roots rock sound with contemporary Christian music themes."
19,"Ellen J. Kullman (born January 22, 1956) is a United States business executive. Since November 2019, she has been the chief executive officer of Carbon (company). She was formerly Chair and Chief Executive Officer of E. I. du Pont de Nemours and Company (""DuPont"") in Wilmington and is a former director of General Motors. Forbes ranked her 31st of the 100 Most Powerful Women in 2014. Kullman retired from DuPont on October 16, 2015."
20,"The Sudanese records in swimming are the fastest ever performances of swimmers from Sudan, which are recognised and ratified by the Sudan Amateur Swimming Association.
All records were set in finals unless noted otherwise."
21,"Queene's Day celebrates the accession of Queen Elizabeth I to the throne of England on 17 November 1558. Observance of the accession was a national holiday in England and Wales for about 300 years, often with the building of enormous bonfires. It was revived in the village of Berry Pomeroy in Devon in 2005.Celebrations begin with evensong in St Mary's Church, Berry Pomeroy and culminate with a bonfire in the adjacent field, upon which is burned an effigy of Satan."
22,"Tarucus waterstradti  is a small butterfly found in the Indomalayan realm that belongs to the lycaenids or blues family. It was first described by Hamilton Herbert Druce in 1895.The larva is found on Eugenia, (in association with Crematogaster ants)

"
23,"Ink Blot Natural Area Preserve is a Washington state Natural Area Preserve located in Mason County. The preserve totals 153 acres (62 ha), mostly wetlands and Sphagnum bogs in three parallel glacier-formed basins.The preserve was created in 2010 with a purchase by the State of Washington from a private landowner."
24,Auvers (French pronunciation: ​[ovɛʁ]) is a commune in the Manche department in the Normandy region in northwestern France.
25,"The men's heavyweight boxing competition at the 2000 Olympic Games in Sydney was held from 21 September to 30 September at the Sydney Convention and Exhibition Centre. Félix Savón became the third boxer to win three consecutive Olympic gold medals, along with his countryman Teofilo Stevenson, and Hungary's Laszlo Papp. Shortly after the victory ceremony, he announced his retirement."
26,"Lesetja Kganyago (born 7 October 1965) is a South African economist and central banker. He is the Governor of the South African Reserve Bank (SARB). He was appointed to that post on 6 October 2014, by Jacob Zuma, the former President of the Republic of South Africa (RSA). He assumed the Governorship of the South African Reserve Bank on 9 November 2014, following the expiry of the term of his predecessor Gill Marcus, on 8 November 2014."
27,"Jeffrey C. Trinkle is Professor and Chair of the Computer Science and Engineering department at Lehigh University in Bethlehem, Pennsylvania. He is known for his work in robotic manipulation, multibody dynamics, and automated manufacturing. He has bachelor's degrees in physics (1979) and engineering (1979) from Ursinus College and Georgia Institute of Technology, respectively, and a PhD (1987) from the University of Pennsylvania. He has taught at the University of Arizona, Rensselaer Polytechnic Institute, and Texas A&M University. From 1998 to 2003 he was a research scientist at Sandia National Laboratories in Albuquerque, New Mexico.
Trinkle's primary research interests lie in the areas of robotic manipulation, multibody dynamics, and automated manufacturing. With continuous support from the National Science Foundation since 1988, he has written over 100 technical articles. One of these articles (with David Stewart) was the first to develop a popular method for simulating multibody systems. Variants of this method are key components of several physics engines for computer game development, for example, NVIDIA PhysX and Bullet. For his work in the area of robotic grasping and dexterous manipulation, Trinkle was elected Fellow of the IEEE in 2010. He spent most of 2010 as a Humboldt Fellow at the Institute for Mechatronics and Robotics at the German Aerospace Center and the Institute for Applied Mechanics at Technical University of Munich."
28,"The Sparrow-Hawk was a 'small pinnace' similar to the full-rigged pinnace Virginia that sailed for the English Colonies in June 1626. She is the earliest ship to participate in the first decades of English settlement in the New World to have survived to the present day.
A rough, six week voyage ended in a storm off Orleans, Massachusetts on Cape Cod when the heavily loaded Sparrow-Hawk was driven onto the isolated Nauset Beach. All aboard survived and were removed to the nearby Plymouth Colony. Storms and shifting sand buried the wrecked pinnace within several weeks. Sparrow-Hawk remained buried until storms in May 1863 uncovered the hull, which was soon salvaged. Keel, planks, rudder and other hull elements from the Sparrow-Hawk were found in good condition, removed from the beach and carefully reconstructed for subsequent exhibition.
Several of the best naval architects of the 1860s in Boston collaborated on the reconstruction of Sparrow-Hawk, which received widespread exhibition during the next few years. Considerable information has been gleaned from the Sparrow Hawk about hull design and construction of the 'small' pinnace design of the early 17th century."
29,"Lucas Steele is an American stage actor best known for his role as Anatole   in Natasha, Pierre & The Great Comet of 1812."
30,"Dennis Stanley Williams (15 November 1936 – 18 September 2013) was an English first-class cricketer and British Army officer. Williams served in the Royal Artillery for 34 years, during which time he played first-class cricket for the Combined Services cricket team."
31,"William Paul Murphy (7 July 1940 – 19 December 2014), was an Irish-born British fashion entrepreneur, best known for being the founder of The Emperor of Wyoming in London's King's Road, which sparked a boom in ""vintage Americana"".
William Paul Murphy was born on 7 July 1940 in Cork, Ireland. His father, a hotelier, died when he was young, and his mother then ran a pub in Cork and brought up Billy and his four siblings.In 1972, Murphy founded The Emperor of Wyoming, a shop on London's King's Road (named after the opening track on Neil Young's 1968 debut solo album), that sold vintage clothes imported from the US, with a cowboy and Western theme."
32,"Lepturobosca chrysocoma is a species of beetle in the family Cerambycidae. It was described as Cosmosalia chrysocoma by William Kirby in 1837. In 1998, comparison of Cosmalia chrysocoma with Lepturobosca virens by the Russian entomologist Alexander Ivanovich Miroshnikov resulted in Cosmalia and Lepturobosca grouped together under the name Lepturobosca. Common names used for this beetle include Yellow velvet beetle, Golden flower longhorn beetle and Golden-haired flower longhorn.This beetle is known to occur in Canada in British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia, Newfoundland, Prince Edward Island, Northwest Territories and the Yukon Territory. It has been found in the United States in Montana and Wyoming.The beetles are 10–20 millimetres (0.39–0.79 in) long and are covered by a dense coat of golden hairs. Adult beetles are frequently seen feeding on flowers in the summer. Their hairy coats pick up pollen, which is transferred to other flowers as they feed, allowing pollination.Larvae feed on decaying wood of trees, including Picea mariana and Populus.This species is a known host for Coleocentrus quebecensis, a parasitic wasp in the subfamily Acaenitinae."
33,"Cheng San Group Representation Constituency (Simplified Chinese: 静山集选区;Traditional Chinese: 靜山集選區) is a now defunct Group Representation Constituency in the North-eastern region in Singapore. The GRC consisted of the eastern part of Ang Mo Kio, Jalan Kayu, Seletar Hills, part of Serangoon North, a large part of Hougang, Buangkok, and the whole of Sengkang New Town and Punggol New Town."
34,"Miraševac (Serbian: Мирашевац) is a village in the municipality of Rača, Serbia. According to the 2002 census, the village has a population of 742 people."
35,"Shouzhou or Shou Prefecture (壽州) was a zhou (prefecture) in imperial China centering on modern Shou County, Anhui, China. It existed (intermittently) from 589 to 1912."
36,"Melford International Terminal is a proposed Canadian marine-rail container terminal to be built in the community of Middle Melford in Guysborough County, Nova Scotia.
If constructed, Melford International Terminal would be the closest deep-water marine-rail container terminal in mainland North America to Europe and the Suez Canal."
37,"1113 Katja, provisional designation 1928 QC, is a background asteroid from the outer regions of the asteroid belt, approximately 39 kilometers in diameter. It was discovered by Pelageya Shajn at the Simeiz Observatory in 1928, and named after Ekaterina Iosko, a staff member at the discovering observatory."
38,"Michel Szulc-Krzyzanowski (born 23 April 1949, in Oosterhout), is a Dutch photographic artist, possibly best known for his series of photographs of a Dutch woman, Henny, whom he has been documenting since the 1970s."
39,"The Late Liz is a 1971 American drama film directed by Dick Ross and written by Bill Rega. It is based on the 1957 book The Late Liz by Gertrude Behanna (pen name Elizabeth Burns). The film stars Anne Baxter, Steve Forrest, James Gregory, Coleen Gray, Joan Hotchkis and Jack Albertson. The film was released on September 22, 1971, by Gateway Films.

"
40,"Eragon is the first book in The Inheritance Cycle by American fantasy writer Christopher Paolini. Paolini, born in 1983, began writing the novel after graduating from home school at age fifteen. After writing the first draft for a year, Paolini spent a second year rewriting and fleshing out the story and characters. His parents saw the final manuscript and in 2001 decided to self-publish Eragon; Paolini spent a year traveling around the United States promoting the novel. The book was discovered by novelist Carl Hiaasen, who got it re-published by Alfred A. Knopf. The re-published version was released on August 26, 2003.
The book tells the story of a farm boy named Eragon, who finds a mysterious stone in the mountains. The stone is revealed to be a dragon egg, and a dragon he later names Saphira hatches from it. When the evil King Galbatorix finds out about the egg, he sends monstrous servants to acquire it, making Eragon and Saphira flee from their hometown with a storyteller named Brom. Brom, an old member of an extinct group called the Dragon Riders, teaches Eragon about 'The Ways of the Rider.'
Eragon was the third-best-selling children's hardback book of 2003, and the second-best-selling paperback of 2005. It placed on the New York Times Children's Books Best Seller list for 121 weeks and was adapted as a feature film of the same name that was released on December 15, 2006."
41,"Charlie Monroe (July 4, 1903 – September 27, 1975) was an American country and bluegrass music guitarist. Charlie performed with his brother, Bill, as part of the Monroe Brothers. He later formed his own group, Charlie Monroe & the Kentucky Pardners."
42,"Books about and authored by Jimmy Carter, the 39th president of the United States (1977–1981).

"
43,"Shilton  is a village in the civil parish of Shilton and Barnacle in the English county of Warwickshire. The village is about 5.5 miles (8.9 km) northeast of Coventry on the B4065 road and at a crossroads with the B4029 road, and is the same distance southwest of Hinckley. Administratively, Shilton is in an outlying part of the Borough of Rugby, although it is more than eight miles (13 km) northwest of the town of Rugby.
Shilton is almost cut in two by the Trent Valley railway line (part of the West Coast Main Line). The village formerly had its own railway station on this line which opened in 1847, and closed in 1957. A short distance to the northwest of the village is the M69 motorway.
The village contains a number of old cottages along the main street which were historically occupied by weavers, a village hall and one old pub, the ""Shilton Arms"", historically there was a second pub called the ""Old Plough"".The village was mentioned in the Domesday Book of 1086 as Seelftone, and was recorded as having eight households. The parish church of St Andrew's has existed since the 13th century, but was rebuilt twice in the 14th and 15th centuries. A second north aisle was added in 1865, and was designed by Sir George Gilbert Scott. The graveyard has some elaborately carved 18th century gravestones. There is also a small baptist chapel in the village which dates from 1867.Leicester Road is just past the Shilton arms. Leicester Road contains a farm which field lies next to the Shilton Arms garden. As you enter Leicester Road on the left hand side there is a white house which used to be a pub too but was converted into a house in 2002.

"
44,"Bomarea glaucescens is a species of flowering plant in the family Alstroemeriaceae. It is native to Peru, Bolivia and Ecuador. It grows in wet páramo habitat among Polylepis and next to lakes, as well as grassy páramo and Andean forests. It is not a threatened species but some populations are vulnerable to habitat destruction as the páramo is converted to pasture and pine and eucalyptus plantations."
45,Çınarlı is a village in the Çanakkale district of Çanakkale Province in Turkey.
46,"Helen Goss (15 October 1903 – 1985) was a British stage, television and film actress. She was also a drama teacher and for a period was responsible for admissions to the Rank Charm School."
47,"Mark Daniel Merritt (born 1961 in New London, CT) (ASCAP) is an American composer and arranger with published choral works mostly for church choirs. Merritt's commissions, include a commission in 2007 partially funded by the Kentucky Arts Council, to compose the score to the musical River Dreams, which had its world premiere in July of that year. River Dreams is an adaptation of the book, A Long Row to Hoe, the autobiography of Kentucky author Billy C. Clark. The play was written by Betty Peterson. In an interview with the Daily Independent newspaper in Ashland, Kentucky, the director of the play Edward Figgins states, ""Music by composer Mark Daniel Merritt captures the mood of Peterson's lyrics.""The American Organist gave the following review of Merritt's published Christmas piece, ""Deo Gratias:""

This setting of ""Adam lay ybounden"" will give Boris Ord's a run for its money. Well crafted and singable, this is sung with ""traditional"" harmonic language. An accompaniment for rehearsal is provided.

Originally from Noank, CT, Merritt now resides in the Columbia, South Carolina area. Merritt earned his Doctor of Musical Arts from the University of South Carolina."
48,"Zhilino (Russian: Жилино) is a rural locality (a village) in Ufa, Bashkortostan, Russia. The population was 170 as of 2010. There are 25 streets."
49,"The 1936 Southwestern Louisiana Bulldogs football team was an American football team that represented the Southwestern Louisiana Institute of Liberal and Technical Learning (now known as the University of Louisiana at Lafayette) in the Southern Intercollegiate Athletic Association during the 1936 college football season. In their sixth year under head coach Truman F. Wilbanks, the team compiled a 2–7–1 record."
50,"Shine Wrestling (stylized as SHINE Wrestling and often referred to simply as SHINE) is an American, New York based independent women's professional wrestling promotion. It is the sister promotion to Shimmer Women Athletes and airs events on Internet pay-per-view (iPPV)."
51,"The Charles H. Burgess House is a historic house at 17 Whitney Road in Quincy, Massachusetts.  The 2+1⁄2-story wood-frame house was built c. 1903 by Charles H. Burgess, a real estate developer and auction-house owner.  The house exhibits both Queen Anne and Shingle styling, with Queen Anne-like projecting corner bay, and a wraparound porch supported by paired columns.  Decorative cut shingles make a string course under a slight flare at the base of the second floor.The house was listed on the National Register of Historic Places in 1989."
52,"The 2008 AFC Champions League was the 27th AFC Champions League, the top-level Asian club football tournament, and the 6th under the current AFC Champions League title. It was the last AFC Champions League before the competition expanded to 32 teams.

"
53,"Not to be mistaken for the Philharmonic Society of Selangor, also known as the Selangor Philharmonic SocietyThe Selangor Philharmonic Orchestra (SPO) is an amateur orchestra based in Selangor, Malaysia. It was founded in 2012 by Chan Ling Chee to spread the interest on classical music throughout Selangor and to help educate young musicians.The orchestra made its debut in June 2012 with ""Chapter One: Thunveil,"" conducted by their principal conductor, Chan Ling Chee. The orchestra presents their main concert of each season as a ""Chapter"" performing a wide variety of music but centering on classical and romantic repertoire. The orchestra frequently performs with local soloists and has been featured numerous times in local publications such as The Star.
The orchestra also includes the Selangor Philharmonic Youth Orchestra (SPYO), where young musicians can perform in an orchestra."
54,"Bruce Burns (born June 30, 1952) is a Republican member of the Wyoming Senate, representing the 21st district  since 2003. He previously served in the House from 1995 to 2002."
55,"The northern mealy amazon or northern mealy parrot (Amazona guatemalae) is among the largest parrots in the genus Amazona, the amazon parrots. It is a mainly green parrot with a total length of 38–41 cm (15–16 in). It is endemic to tropical Central America. This species and the southern mealy amazon (Amazona farinosa) were previously considered conspecific.  Some taxonomic authorities (including the American Ornithological Society, continue to lump them together."
56,"The Silent Worker was a newspaper published in the United States serving the deaf community.  Originally published in 1888 as the Deaf Mute Times, the paper was renamed that year to The Silent Worker.  The paper was published monthly from fall through spring by the New Jersey School for the Deaf  The Worker published articles, primarily written by deaf authors, highlighting the abilities and achievements of the deaf community in industry.
During the early 20th century, when most school administrations were transitioning away from the use of American Sign Language in favor of the oral method of instruction, the worker generally advocated a dissenting view.  Publication ceased in June 1929 following the dismissal of its editor, George Porter.A new edition of the Silent Worker was published by the National Association for the Deaf beginning in 1948."
57,"The western grebe (Aechmophorus occidentalis) is a species in the grebe family of water birds. Folk names include ""dabchick"", ""swan grebe"" and ""swan-necked grebe"".
Western grebe fossils from the Late Pleistocene of southwest North America were described as a distinct species, but later ranked as a paleosubspecies Aechmophorus occidentalis lucasi. More recent study found them to fall within the variation now known to exist in today's birds."
58,"36 Andromedae is a visual binary star system in the northern constellation of Andromeda. The designation is from the star catalogue of English astronomer John Flamsteed, first published in 1712. It is faintly visible to the naked eye with an apparent visual magnitude of 5.45. An annual parallax shift of 26.33 mas yields a distance estimate of about 124 light years. The system is moving closer to the Sun with a radial velocity of −0.8 km/s.The binary nature of this system was discovered in 1832 by the German-Russian astronomer Wilhelm von Struve. It is a wide binary with an orbital period of 167.5 years and an eccentricity of 0.3. As of 2016, the pair had an angular separation of 0.90 arc seconds along a position angle of 330°.The primary, component A, is a magnitude 6.12 F-type star with a stellar classification of G8 IV, while the secondary, component B, has a magnitude of 6.54 and is a K-type star of class K3 IV. Their brightness compared to their temperatures indicate they are evolving subgiant stars. However, at least one of the components is subject to flare activity, which may suggest they are instead pre-main sequence stars."
59,Bagula railway station is a railway station on the Ranaghat–Gede line of the Kolkata Suburban Railway system and operated by Eastern Railway. It is situated at Bagula of Nadia district in the Indian state of West Bengal. Total 48 local trains pass through the Bagula railway station and the distance from Sealdah to this railway station is approximately 93 km.
60,"Wolf of the Plains (2007) is a historical novel from English author Conn Iggulden. It is the first book in the Conqueror series based on the Mongols of the Asian steppes. It is titled Genghis: Birth of an Empire in the United States.
After completing the Emperor series on the life of Julius Caesar, Iggulden began research for his next series of books, based on the life of Mongol warlord Genghis Khan. In the author's note of the book, Iggulden explains he traveled to rural Mongolia during his research."
61,"Abbey Street (Irish: Sráid na Mainistreach) is located on Dublin's Northside, running from the Customs House and Store Street in the east to Capel Street in the west. The street is served by two Luas light rail stops, one at the Jervis shopping centre and the other near O'Connell Street (Abbey Street Luas stop. About 1 km in length, it is divided into Abbey Street Upper (west end), Middle Abbey Street and  Abbey Street Lower (east end)."
62,"Komgnesse is a village in the Zam Department of Ganzourgou Province in central Burkina Faso. The village has a population of 39,908."
63,"Finland was represented by Monica Aspelund, with the song ""Lapponia"", at the 1977 Eurovision Song Contest,  which took place on 7 May in London."
64,Statistics of the 1981 Cameroonian Premier League season.
65,"Acanthocheilonema is a genus within the family Onchocercidae which comprises mainly tropical parasitic worms. Cobbold created the genus Acanthocheilonema with only one species, Acanthocheilonema dracunculoides, which was collected from aardwolf (Proteles cristatus: Hyaenidae) in the region of South Africa in the nineteenth century. These parasites have a wide range of mammalian species as hosts, including members of  Carnivora, Macroscelidea, Rodentia, Pholidota, Edentata, and Marsupialia. Many species among several genera of filarioids exhibit a high degree of endemicity in studies done on mammalian species in Japan. However, no concrete evidence has confirmed any endemic species in the genus Acanthocheilonema. 
There are about fifteen well characterized parasitic species found in genus Acanthocheilonema. A. delicata n. sp. (2013), A. dracunculoides (Cobbold 1870), A. filaria (Kou, 1958), A. mansonbahri (Nelson, 1961), A. mephitis (Webster and Beauregard, 1964), A. odendhali (Perry, 1967), A. pachycephalum (Ortlepp, 1961), A. pricei (Vaz and Pereira, 1934), A. procyonis (Price, 1955), A. reconditum (Grassi, 1889), A. sabanicolae (Eberhard and Campo-Aasen, 1986), A. setariosa (Mönnig, 1926), A. spirocauda (Leidy, 1858), A. viteae (Krepkogorskaja, 1933), and A. weissi (Seurat, 1914) are the well characterized parasitic species found all around the world in variety of hosts. Some of the crucial parasites that affect a wide range of host species are discussed below.

"
66,Susan Schwalb is a contemporary silverpoint artist.
67,Chrysaperda metallica is a species of beetle in the family Cerambycidae. It was described by Bates in 1881. It is known from Ecuador and Peru.
68,"Warren Miller (August 31, 1921 – April 1, 1966) was an American writer. Although he gained some fame for his books dealing with issues of race, as in The Cool World (1959) and The Siege of Harlem (1964), and for his more political books such as Looking for The General (1964) and Flush Times (1962), because of his early death due to lung cancer and his outspoken political views he has remained relatively unknown."
69,"Brechin (; Scottish Gaelic: Breichin) is a town and former Royal burgh in Angus, Scotland. Traditionally Brechin was described as a city because of its cathedral and its status as the seat of a pre-Reformation Roman Catholic diocese (which continues today as an episcopal seat of the Scottish Episcopal Church), but that status has not been officially recognised in the modern era.Nevertheless, the designation is often used, with examples being the City of Brechin and District Community Council, City of Brechin and Area Partnership, City of Brechin Civic Trust and Brechin City Football Club. Kinnaird Castle is nearby. Brechin is located slightly closer to Dundee than Aberdeen and is located on the A90 between the cities. It is the fourth largest settlement of Angus."
70,"Friedemann Karl Riehle (born May 30, 1959) is a German conductor.
Riehle was born in Stuttgart.  After violin lessons at a young age he studied classical guitar in Stuttgart as well as orchestra conducting at the Meistersinger Academy in Nuremberg and in Vienna at the Hochschule für Musik und Darstellende Kunst (now Universität für Musik und Darstellende Kunst Wien).
Already as a student he conducted his first opera night with Carl Maria von Weber's opera ""Oberon"". In 1995, Riehle was one of the people who founded the Prague Philharmonic Orchestra. With this orchestra Riehle cooperates frequently for recordings, for the Prague New Year’s Concert as well as for concerts abroad.  In order to make symphonic music easily accessible for a wider audience and especially for young people, Riehle started in 1997 to cut down long symphonic movements by Anton Bruckner and Gustav Mahler to pieces of a duration of about 7 minutes. This idea inspired many conductors years later.
Also, in order to incorporate epoch-making music of the 20th century into the classical repertoire, Riehle frequently conducts concerts with classical rock music by Deep Purple, Pink Floyd, Led Zeppelin and Queen. Riehle has worked with Ian Gillan of Deep Purple on eleven symphony in rock performances. In August 2015 and 2016 Riehle conducted a rock-concert with the Prague Philharmonic Orchestra in the Vienna State Opera house, called Rock the Opera.

From 1992 to 1995 and from 2009 to 2010, Friedemann Riehle was managing director of the Prague Opera Ball for the Prague State Opera. The Prague Opera Ball is the most famous charity event in the Czech Republic."
71,"Bay Area Rural Transit is a public transportation system in Ashland County, Bayfield County and Price County, Wisconsin."
72,Sir William Shelford  (1834–1905) was an English civil engineer.
73,"Ikameshi (烏賊飯, literally squid rice) is a Japanese dish of rice-filled squid. It is a regional dish from the Oshima area of Hokkaidō."
74,"Haider Nawzad (alternate names: Haydar Nozad, Haidar Hama Rashid) (born 20 April 1983) is an Iraqi rower.  He was born in Baghdad to Kurdish parents.  He is fluent in Kurdish, Arabic, English and Swedish.
He and his rowing partner, Hamza Hussein, qualified for the men's double sculls event at the 2008 Summer Olympics in Beijing through a Tripartite Commission invitation. They were last-minute qualifiers for the Beijing Games, obtaining a place when North Korea declined an invitation to send rowers, and the invitation was reallocated to Iraq. They are two of only four competitors on the 2008 Iraqi Olympic team. Nawzad and Hussein train on the Tigris river in central Baghdad. Nawzad was living in Sweden, but returned to Iraq to train for the Olympics.Haider won Iraq's first medal of the 2010 Asian Games, finishing third in the men's single sculls. After this victory Adel Ali, Secretary General of Iraq's National Olympic Committee announced that his organisation was committed to providing better funding for sport in Iraq.Before the Asian Games, Haider and other members of the Iraqi squad spent a month preparing in the United States training with members of the U.S. rowing team and competing in the prestigious Head of the Charles regatta.

"
75,"Walter Shelley Phillips, known as El Comancho, was a self-educated and self-trained naturalist, artist, geologist, newspaper reporter, freelance writer and author of numerous books."
76,Mikita Sviryd (born 25 June 1996) is a Belarusian judoka.He is the silver medallist of the 2018 Judo Grand Prix The Hague and is scheduled to participate for Belarus at the 2020 Summer Olympics.
77,"Zandspruit Bush & Aero Estate is a 1 000 ha secure living wildlife estate situated 2 kilometres (1.2 mi) from the town of Hoedspruit, 30 kilometres (19 mi) from the Blyde River Canyon, and 70 kilometres (43 mi) from the Kruger National Park, in the Limpopo Province of South Africa. It is the first development in the world to combine a residential airpark with a game reserve.The area is part of the UNESCO Kruger to Canyons Biosphere. The seasonal Sandspruit River runs through the estate for 6.5 km, which is surrounded by the Klein Drakensberg Mountains. The estate incorporates a paved 1 000m private airstrip, with hangar facilities for residents and owners."
78,"Geoffrey Lawrence, 3rd Baron Trevethin, 1st Baron Oaksey,  (2 December 1880 – 28 August 1971) was the main British judge during the Nuremberg trials after Second World War, and President of the Judicial group."
79,"Mónica Ojeda Franco (born Guayaquil, 1988) is an Ecuadorian writer. She obtained her bachelor's degree from the Universidad Católica de Santiago de Guayaquil, followed by a master's degree from the Universidad Pompeu Fabra de Barcelona. She is currently working on her doctorate in Madrid. Ojeda has published in several genres, including poetry, novels, and short stories. In 2017, she was named as one of the Bogota39, a selection of the best young writers in Latin America.In January 2018 she published the novel Jawbone, which tells the story of a teenage girl obsessed with horror stories and creepypastas who is kidnapped by her literature teacher. The book was acclaimed by critics at the time of its publication and described as ""one of the novels of the season"" by the Spanish newspaper El País, which ranked it 12th in its list of the 50 best books of 2018. The novel was also selected as one of the ten finalists for the Mario Vargas Llosa Biennial Novel Prize in its 2018 edition.In 2020 she was selected as one of the five finalists for the sixth edition of the Ribera del Duero Short Story Award with her unpublished book of short stories El mundo de arriba y el mundo de abajo, in which she explores through horror themes such as gender violence, abortion, sexuality and religion in a style she defined as ""Andean Gothic""."
