,0
27,"The 1969 Buffalo Bills season was the team’s tenth season, and was the final season of the American Football League before the 1970 AFL-NFL Merger. The Bills played an AFL-record seven games against opponents that went on to reach the postseason; Buffalo lost all seven of these games.
This was the rookie season for running back O. J. Simpson, the Heisman Trophy winner from Southern California and first overall selection in the draft, who went on to a Hall of Fame career.
Although Buffalo only won four games, their penultimate win—a Week Ten victory against the Miami Dolphins—would be their last victory against the Dolphins until the 1980 season. After the win, the Bills suffered against Miami an NFL-record twenty consecutive games lost by one team to another.


== Offseason ==
August 9, 1969: O. J. Simpson signs a four-year contract worth $215,000.
August 20, 1969: The Bills acquired wide receiver Marlin Briscoe.
August 25, 1969: Guard George Flint and defensive tackle Tom Sestak both announced their retirements.
August 25, 1969: Running back/returner Ed Rutkowski was released by the Bills.


=== Draft ===


== Personnel ==


=== Coaches/Staff ===
Source: https://pro-football-history.com/franchise/7/buffalo-bills-coaches


=== Final roster ===


== Preseason ==


== Regular season ==


=== Schedule ===


=== Week 1 ===


=== Week 2 ===


=== Week 3 ===


=== Week 4 ===


=== Week 5 ===


=== Week 6 ===


=== Week 7 ===


=== Week 8 ===


=== Week 9 ===


=== Week 10 ===
O. J. Simpson 72 Rush Yds, 81 Rec Yds


=== Week 11 ===


=== Week 12 ===


=== Week 13 ===


=== Week 14 ===


== Standings ==
Note: Tie games were not officially counted in the standings until 1972.
This was the final year of the AFL The Baltimore Colts would join the AFL eastern teams and become the AFC East in 1970.


== Awards and records ==


== References ==

Buffalo Bills on Pro Football Reference
Buffalo Bills on jt-sw.com"
28,"The innocent worm lizard (Amphisbaena innocens) is a worm lizard species in the family Amphisbaenidae. It is endemic to Hispaniola.


== References =="
29,"""Please Make Up Your Mind"" (aka ""Why Don't You Make Up Your Mind?"") is a song written and recorded by Hank Williams and released as a ""Luke the Drifter"" single in 1952.


== Background ==
Little Jimmy Dickens had been the first to release ""Please Make Up Your Mind"" to the Canadian market under the title ""I Wish You Didn't Love Me So Much,"" but Dickens' version was up-tempo and included a line not found in Williams' version:

The preacher man said, ""For better or worse""
But lately I've been lookin' for that big black hearseWilliams version, however, has a different feel altogether and was almost certainly aimed at his former wife Audrey Williams, whom he had legally divorced the day before the recording session.  Country music historian Colin Escott calls it the most ""rivetingly vengeful"" song the singer ever recorded:

""Over a slow blues backing and with bleak humor, Hank catalogued his grievances against Audrey:  her tantrums, her attempts to belittle him, her ungovernable temper...Not until Bob Dylan's 'Positively 4th Street' was there a song so bitter and demeaning.""According to Escott, the original draft contained the lines, ""Whoever said women was the weaker sex/ Baby never had you on his neck,"" but, like lines in the Dickens version, were cut, with producer Fred Rose possibly deeming them too dark for commercial release.  The song's blunt subject matter and spoken vocal ensured it to be released as a ""Luke the Drifter"" recording, the pseudonym for Hank's atypical releases that let jukebox operators know they were not danceable, honky tonk records.  It was recorded at Castle Studio in Nashville with Jerry Rivers (fiddle), Don Helms (steel guitar), and Harold Bradley (rhythm guitar), while it is speculated that Chet Atkins played lead guitar and Ernie Newton played bass. The track also appeared on the 1953 LP Hank Williams as Luke the Drifter.  This recording session, held on July 11, 1952, was Hank's next-to-last and also produced the single's B-side ""Be Careful of Stones that You Throw"" as well as ""You Win Again.""


== Discography ==


== References ==


== Bibliography ==
Escott, Colin (2004). Hank Williams: The Biography. Back Bay. ISBN 0-316-73497-7."
30,"Azzone (Italian: [atˈtsoːne]; Bergamasque: Sù) is a comune (municipality) in the Province of Bergamo in the Italian region of Lombardy, located about 90 kilometres (56 mi) northeast of Milan and about 45 kilometres (28 mi) northeast of Bergamo. As of 31 December 2004, it had a population of 458 and an area of 16.8 square kilometres (6.5 sq mi).Azzone borders the following municipalities: Angolo Terme, Borno, Colere, Schilpario, Vilminore di Scalve.


== Demographic evolution ==


== References =="
31,"RIES, for Rijnland Internet Election System, was a project and open source/open patent design and implementation of an Internet election system. RIES was used from 2004 to 2006 for formal elections of the Dutch District Water Boards, and in 2006 to allow expats to vote for the Dutch parliament elections through the Internet. Over 140,000 voters used Ries to cast their vote over the Internet, 19,815 of which were cast in the 2006 parliamentary election.In June, 2008, based on the work of the group ""We Don't Trust Voting Computers"", Internet voting was banned in the Netherlands and RIES could no longer be used.
.The source code was published in June, 2008, and was shown to have extensive security problems.


== See also ==
Electronic voting examples#Netherlands
Internet voting


== References ==


== External links ==
http://www.openries.nl/
http://csrc.nist.gov/groups/ST/UOCAVA/2010/PositionPapers/PIET_PONT_RIES_UOCAVA.pdf
""We do not trust voting computers"" (Wij vertrouwen stemcomputers niet)"
32,"A macular hole is a small break in the macula, located in the center of the eye's light-sensitive tissue called the retina.


== Symptoms ==
If the vitreous is firmly attached to the retina when it pulls away, it can tear the retina and create a macular hole.  Also, once the vitreous has pulled away from the surface of the retina, some of the fibers can remain on the retinal surface and can contract.  This increases tension on the retina and can lead to a macular hole.  In either case, the fluid that has replaced the shrunken vitreous can then seep through the hole onto the macula, blurring and distorting central vision.


== Causes ==
The eye contains a jelly-like substance called the vitreous.  Shrinking of the vitreous usually causes the hole.  As a person ages, the vitreous becomes watery  and begins to pull away from the retina.  If the vitreous is firmly attached to the retina when it pulls away, a hole can result.


== Diagnosis ==

Macular degeneration is a condition affecting the tissues lying under the retina, while a macular hole involves damage from within the eye, at the junction between the vitreous and the retina itself.  There is no relationship between the two diseases.  Depending upon the degree of attachment or traction between the vitreous and the retina, there may be risk of developing a macular hole in the other eye. In those cases where the vitreous has already become separated from the retinal surface, there is very little chance of developing a macular hole in the other eye.  On the other hand, when the vitreous remains adherent and pulling on the macular region in both eyes, then there may be a greater risk of developing a hole in the second eye.  In very rare instances, trauma or other conditions lead to the development of a macular hole.  In the vast majority of cases, however, macular holes develop spontaneously.  As a result, there is no known way to prevent their development through any nutritional or chemical means, nor is there any way to know who is at risk for developing a hole prior to its appearance in one or both eyes.


== Management ==
Vitrectomy is the common way to treat a macular hole. It is done by placing a gas bubble in the vitreous of the eye which helps flatten the macular hole and holds it in place as the eye heals. The gas bubble slowly shrinks on its own. Treatment is also done using ocriplasmin.


== References ==
 5. Saurabh K, Roy R, Mishra S, Garg B, Goel S. Multicolor imaging features of dissociated optic nerve fiber layer after internal limiting membrane peeling. Indian journal of ophthalmology. 2018 Dec 1;66(12):1853.


== External links ==
Macular Hole Resource Guide from the National Eye Institute (NEI)."
33,"Bulbophyllum scrobiculilabre is a species of orchid in the genus Bulbophyllum.


== References ==
The Bulbophyllum-Checklist
The Internet Orchid Species Photo Encyclopedia"
34,"Harry Joseph Bowman (July 17, 1949 – March 3, 2019) was an American criminal and the former international president of the Outlaws Motorcycle Club. While he was president, the club had chapters in more than 30 cities in the United States and some 20 chapters in at least four other countries. Bowman became the 453rd fugitive listed by the Federal Bureau of Investigation on the Ten Most Wanted Fugitives list. He was imprisoned in the United States from 1999 until his death in 2019.


== Legal matters ==
The FBI reported Bowman's aliases as: Harry Bouman; David Bowman; Harry Bowman; Harry J. Bowman; Harry Joe Bowman; David Charles Dowman; Harry Douman; Harry Tyree; ""Taco""; and ""T"". He was described as 5'10"" and 190 pounds, with multiple tattoos reflecting his association with the Outlaws Motorcycle Club, such as one on his back and upper right arm of a skull and crossed pistons with the word ""Outlaws"" in black above and the word ""Detroit"" in black below. He also had a swastika tattoo on his right forearm, and a ""Merlin the Magician"" figure on his left forearm.
Bowman became wanted in 1998 for crimes going back sixteen years earlier, beginning with the murder of Outlaws member Arthur Allen Vincent Ormond Beach, Florida in 1982.He was then wanted in the murder of a rival club member in Edgewater, Florida in 1991.
He was indicted as well for having ordered bombings of rival clubhouses in Orlando, Florida and in Cook County, Illinois in 1994.
He was also wanted in the murder of another Outlaws member in Indianapolis, Indiana in 1995.
He was indicted in Tampa, Florida in August 1997 for the three murders and bombings. The sweeping indictment, under the Racketeer Influenced and Corrupt Organizations Act (RICO) conspiracy law, alleged his involvement in violent racketeering acts to also include drug trafficking, extortion, firearms violations, and other acts of violence.
In 1998 Bowman was then placed on the FBI wanted list, with a $50,000 reward for his apprehension.
After more than one year on the FBI list, Bowman was arrested June 7, 1999 in Sterling Heights, Michigan. He was represented by noted defense attorney Henry Gonzalez of Tampa. He received two life sentences.


== Death ==
Bowman died on March 3, 2019, at the Federal Medical Center in Butner, North Carolina.


== See also ==
List of fugitives from justice who disappeared


== References =="
35,"Tun Haji Abdul Razak bin Dato' Hussein (Jawi: عبدالرزاق بن حسين; 11 March 1922 – 14 January 1976) was a Malaysian politician who served as the second prime minister of Malaysia from September 1970 until his death in January 1976. He also served as the first deputy prime minister of Malaysia from August 1957 to September 1970. He is referred to as the Father of Development (Bapa Pembangunan).
Abdul Razak was the figure responsible for setting up Barisan Nasional (BN), which is the ruling coalition of political parties that held power in Malaysia. Abdul Razak is also renowned for launching the Malaysian New Economic Policy (MNEP).
His eldest son, Najib Razak, became the sixth prime minister in 2009; Najib is the first prime minister of Malaysia to be a descendant of a former prime minister.


== Early life and education ==
Born in Kampung Pulau Keladi, a village located northwest of Pekan, Pahang on 11 March 1922, Abdul Razak is the first of two children to Yang DiHormat Orang Kaya Indera Shahbandar ke-9, Dato' Hussein bin Mohd Taib and Datin Hajah Teh Fatimah bt Daud. An aristocratic descendant of Orang Kaya Indera Shahbandar, Abdul Razak studied at the Malay College Kuala Kangsar.
After joining the Malay Administrative Service in 1939, he was awarded a scholarship to study at Raffles College in Singapore in 1940. His studies at the college ceased with the onset of the Second World War. During the war he helped organise the Wataniah resistance movement in Pahang.After World War II, Abdul Razak left for Britain in 1947 to study law. In 1950 he received a law degree and qualified as a barrister at Lincoln's Inn in London. During his student days in England,  Abdul Razak was a member of the British Labour Party and a prominent student leader of the Malay Association of Great Britain. He also formed the Malayan Forum.


== Involvements in World War II ==


=== Early WWII and Askar Wataniah ===
After his studies were interrupted in 1942 because of World War II, Abdul Razak returned to Kuantan, Pahang. There, he met his former colleague from the Malay Administrative Service, Yeop Mahidin, and expressed his interest in joining the Malay Regiment (now Royal Malay Regiment). Mahidin, who is also the founder of Askar Wataniah Pahang ('Pahang State Territorial Army'; precursor of Rejimen Askar Wataniah), recruited Razak into his new guerrilla forces. After finishing his training under Mahidin, Razak was instructed by him to join the Japanese Malayan Civil Service as an agent and informant.


=== Informant in Japanese Administration ===
After finishing his Japanese Military Training, Razak, as an aristocrat and son of a respected Malay leader in Pahang, was posted to his home-state Pahang as an assistant to District Officer and at the same time as a bridge for the Japanese to gain the trust of local Pahang Malays. Using his privileges as an aristocrat, Razak started networking with the Japanese Imperial Forces while maintaining his connection with Yeop Mahidin. His role as an informant inside the Japanese Administration was known only to a few of Wataniah members including Mahidin. Because of this, Razak was labelled as a traitor by the rest of the Wataniah Pahang.


=== Force 136 Pahang ===
At first, the Malays were not fully trusted by the British to fight the Japanese because of a few incidents and better treatment by the Japanese Administration towards Malays compared to other races. After gaining sufficient trust, the Askar Wataniah Pahang with its 200 members was absorbed into the Special Operations Executive (SOE) and made into to Force 136 Pahang.Force 136 Pahang's missions' continuous success made the Japanese Administration begin to suspect that there were informants inside their administration. Force 136 Pahang quickly set up an extraction mission to recover their agent, Razak, who was still unknown to many of its members.After he had been successfully extracted, Razak continued his work with Force 136 and was promoted to the rank of captain. Among notable missions, Razak was involved in the rescue of Sultan Abu Bakar of Pahang from MPAJA.


== Political involvement ==

Upon his return from the United Kingdom, in 1950, Tun Razak joined the Malayan Civil Service. Owing to his political calibre, he became the youth chief for United Malays National Organisation (UMNO). Two years later, he worked as the Assistant State Secretary of Pahang and in February 1955, at just 33 years of age, became Pahang's Chief Minister.
Razak stood in and won a seat in Malaya's first general elections in July 1955 and was appointed as the Education Minister. He was instrumental in the drafting of the Razak Report which formed the basis of the Malayan education system. Tun Razak was also a key member of the February 1956 mission to London to seek the independence of Malaya from the British.After the general elections in 1959, he became the Minister of Rural Development in addition to holding the portfolios of Deputy Prime Minister and Minister of Defence, which he held from 1957. His achievements include formulating the development policy known as the Red Book.


== Infusing young blood ==
At the time of Separation of Singapore from the Federation of Malaysia in 1965, Tun Razak realised that UMNO needed more young leaders in the party. Faced with, amongst other things Lee Kuan Yew's considerable rhetorical skills, Razak wanted young Malay leaders – grounded in their own faith and culture – who would be able to speak and if necessary debate both in the Malay language and English language.
Razak understood that power resided in the Malay community and that for this power to be wielded effectively, the elite among the Malays had to be an elite determined by ability, aptitude and commitment to the nation as a whole. Class, birth and money were secondary in his calculations.
As a consequence of this initiative, the then young leaders of mixed heritage in UMNO, such as Mahathir Mohamad, were drafted into higher echelons of the political establishment.
In 1967 he was awarded the Ramon Magsaysay Award for community leadership.


== Prime Ministership ==
After the 13 May Incident in 1969, Tunku Abdul Rahman Putra received many criticisms from various parties for his inability to deal with racial issues. This led to his resignation as prime minister. Tun Abdul Razak then imposed a State of Emergency, ruling by decree as the National Operations Council until 1970. In September 1970, Tunku Abdul Rahman was succeeded by Tun Abdul Razak as the Prime Minister of Malaysia.
Tun Razak set up the Barisan Nasional or National Front on 1 January 1973 to replace the ruling Alliance Party. He increased the membership of its parties and coalitions in an effort to establish ""Ketahanan Nasional"" (National Strength) through political stability.
Tun Razak is also renowned for launching the Malaysian New Economic Policy (MNEP) in 1971. He and the ""second generation"" of Malay politicians saw the need to tackle vigorously the economic and social disparities which fuelled racial antagonisms and violence. The MNEP set two basics goals – to reduce and eventually eradicate poverty, and to reduce and eventually eradicate identification of economic function with race.


== Death ==
Abdul Razak was diagnosed with leukemia but kept it secret since 1969.
Abdul Razak died in office on 14 January 1976 while seeking medical treatment in London. He was posthumously granted the soubriquet Bapa Pembangunan ('Father of Development'). He was laid to rest in Heroes Mausoleum (Malay: Makam Pahlawan) near Masjid Negara, Kuala Lumpur.


== Awards and recognitions ==


=== Honours of Malaysia ===
 Malaya :
 Grand Commander of the Order of the Defender of the Realm (SMN) – Tun (1959)
 Malaysia :
 Recipient of the Malaysian Commemorative Medal (Gold) (PPM) (1965)
 Recipient of the Order of the Crown of the Realm (DMN) (1976)
Tun Abdul Razak was posthumously granted the sobriquet Bapa Pembangunan ('Father of Development').
 Pahang :
 Grand Knight of the Order of the Crown of Pahang (SIMP) – formerly Dato', now Dato' Indera (1967)
 Member 1st class of the Family Order of the Crown of Indra of Pahang (DK I) (1973)
 Kelantan :
 Knight Grand Commander of the Order of the Crown of Kelantan or Al-Muhammad Star (SPMK) – Dato'
 Recipient of the Royal Family Order or Star of Yunus (DK)
 Kedah :
 Member of the Kedah Supreme Order of Merit (DUK)
 Penang :
 Knight Grand Commander of the Order of the Defender of State (DUPN) – Dato' Seri Utama (1975)
 Sabah :
 Grand Commander of the Order of Kinabalu (SPDK) – Datuk Seri Panglima
 Perlis :
 Knight Grand Commander of the Order of the Crown of Perlis (SPMP) – Dato' Seri (1965)
 Selangor :
 Knight Grand Commander of the Order of the Crown of Selangor (SPMS) – Dato' Seri (1965)
 Johor :
 Knight Grand Commander of the Order of the Crown of Johor (SPMJ) – Dato' (1961)
 Terengganu :
 Knight Grand Commander of the Order of the Crown of Terengganu (SPMT) – Dato' (1964)
 Perak :
 Knight Grand Commander of the Order of the Perak State Crown (SPMP) – Dato' Seri (1964)
 Grand Knight of the Order of Cura Si Manja Kini (SPCM) – Dato' Seri (1974)
 Sarawak :
 Knight Grand Commander of the Order of the Star of Hornbill Sarawak (DP) – Datuk Patinggi


=== Foreign honours ===
 Brunei :
 Second Class of the Order of Seri Paduka Mahkota Brunei (DPMB) – Dato Paduka (1958)
 First Class of the Order of Seri Paduka Mahkota Brunei (SPMB) – Dato Seri Paduka (1959)
 Philippines :
 Grand Collar of the Order of Lakandula (2017)
 United Kingdom :
  Associate Knight of the Order of the Hospital of St John of Jerusalem (KStJ) (1967)
 Honorary Knight Grand Cross of the Order of St Michael and St George (GCMG) (1972)


=== Things named after him ===

Several things were named after him, including:

Tun Razak Highway (Federal Route  connecting Segamat, Johor to Gambang, Pahang)
Jalan Tun Razak in Kuala Lumpur (part of Kuala Lumpur Middle Ring Road 1)
Jalan Tun Abdul Razak in Johor Bahru (part of Skudai Highway)
Jalan Tun Abdul Razak in Ipoh (also known as Maxwell Road)
Jalan Tun Abdul Razak in Melaka City (street name for Melaka Bypass)
Jalan Tun Razak in Kota Kinabalu
Jalan Tun Abdul Razak in Gowa, Sulawesi Selatan, Indonesia (known as Jalan Hertasning Baru and Jalan Aroepala)
Jalan Tun Razak in Putrajaya
Taman Tun Abdul Razak also known as Taman TAR (a residential area in Ampang Jaya, Selangor)
Desa Tun Razak, a small township in the outskirts of Kuala Lumpur
Bandar Tun Razak in Kuala Lumpur
 SP14  Bandar Tun Razak LRT station
Parliamentary constituency of Bandar Tun Razak
Bandar Tun Razak, Jengka in Pahang
Bandar Tun Abdul Razak, Rompin, Pahang
Komtar Tower in George Town, Penang
Komtar JBCC in Johor Bahru, Johor
Komtar Skywalk in George Town, Penang
SK Tun Abdul Razak, a primary school in Kuala Kubu Bharu, Selangor
Kampung Tun Abdul Razak, a township in Kuala Kubu Bharu
Surau Desa Tun Abdul Razak, a prayer hall in Desa Tun Razak, Kuala Lumpur
Surau Rumah Keluarga Angkatan Tentera Tun Abdul Razak, a prayer hall for Malaysians veteran army in Desa Tun Razak, Kuala Lumpur
Institut Penyiaran dan Penerangan Tun Abdul Razak, a government broadcasting office in Taman Bukit Angkasa, Kuala Lumpur
Dewan Terbuka Tun Abdul Razak, a community hall centre in Labu, Negeri Sembilan
Jalan Tun Abdul Razak, a major road in Kangar, Perlis
Masjid Tun Abdul Razak Repoh, a mosque in Kangar, Perlis
Jalan Tun Abdul Razak, a major road in Johor Bahru, Johor
Jalan Tun Razak, a major road in Alor Setar, Kedah
Kampung Tun Abdul Razak and Kampung Tun Rahah, a township in honour of Tun Razak and her spouse, Tun Rahah in Bukit Katil, Melaka
Auditorium Tun Abdul Razak in Balok, Pahang

Rumah Kelahiran Tun Abdul Razak, a museum of his hometown house in Pekan, Pahang
Chanselori Tun Abdul Razak, Universiti Malaysia Pahang
Rumah Penyayang Tun Abdul Razak, a nursing home in Pekan, Pahang
Sekolah Berasrama Penuh Integrasi, a fully integrated boarding school in Pekan, Pahang
Jalan Tun Razak, a road in Kuala Kangsar, Perak
Auditorium Tun Razak, Jalan Kolej Melayu, Kuala Kangsar

SMK Tun Abdul Razak, a secondary school in Selekoh, Perak
Tun Abdul Razak National Secondary School, a secondary school in Kuching, Sarawak
Tun Abdul Razak Stadium in Bandar Tun Razak, Jengka, Pahang
Tun Razak Hockey Stadium in Kuala Lumpur
SK Pusat Penyelidikan Pertanian Tun Razak, a primary school in Jerantut, Pahang
SMK Pusat Penyelidikan Pertanian Tun Razak, a secondary school in Jerantut, Pahang
Pusat Penyelidikan Pertanian Tun Razak, a scientific research base in Jerantut, Pahang
Tun Abdul Razak Research Centre (formerly known as British Rubber Producers' Research Association) in Brickendonbury, England
KD Tun Abdul Razak, a Scorpène-class submarine of the Royal Malaysian Navy
Tun Abdul Razak Chancellor Hall (DECTAR) at the National University of Malaysia (UKM) in Bangi, Selangor
Tun Abdul Razak Library (PTAR) at MARA University of Technology (UiTM), Shah Alam, Selangor
Tun Razak Library, a public library in Ipoh, Perak
MRSM Tun Abdul Razak, MARA Junior Science College in Pekan, Pahang.
Bandar Tun Razak, a township in Jengka, Pahang
Stadium Tun Abdul Razak, a stadium in Jengka Pahang
Sekolah Berasrama Penuh Integrasi Tun Abdul Razak (SBPITAR), an integrated boarding school in Pekan, Pahang
Sekolah Dato' Abdul Razak (SDAR), all-boys boarding school in Seremban, Negeri Sembilan.
Universiti Tun Abdul Razak (UNIRAZAK), a private university in Kuala Lumpur.
Tun Abdul Razak Residential College, one of residential college in Universiti Malaysia Perlis
Dewan Tun Abdul Razak, Menara Kembar Bank Rakyat in Kuala Lumpur
Dewan Tun Abdul Razak, a museum exhibition gallery in Kuching, Sarawak Museum
Dewan Tun Abdul Razak 1 & 2, Putra World Trade Centre, Kuala Lumpur
Dewan Kenangan Tun Abdul Razak in Baling, Kedah
Institut Teknologi Tun Abdul Razak in Petaling Jaya, Selangor
Institut Teknologi Tun Abdul Razak in Perai, Penang
Tun Abdul Razak Hockey Cup
Tun Abdul Razak Heritage Park, a public recreational park in Kuala Lumpur
Tun Abdul Razak Memorial, a memorial in Kuala Lumpur
Kem Tun Razak, a military camp in Bayan Lepas, Penang
Tun Razak Chair at Ohio University's Department of Southeast Asian Studies
Tun Razak Exchange
 SBK20  Tun Razak Exchange MRT station in Kuala Lumpur
Tun Razak Tower in Kuala Lumpur
Universiti Tun Abdul Razak, formerly known as SIDMA College, Kota Kinabalu, Sabah
Perpustakaan Tun Abdul Razak, a public library of UiTM Kota Kinabalu Branch
Kolej Tun Abdul Razak, a residential college at Universiti Malaysia Perlis, Arau, Perlis
Kolej Tun Abdul Razak and Kolej Toh Puan Abdul Razak, residential colleges at Universiti Teknologi MARA, Bukit Besi, Terengganu

Kolej Tun Abdul Razak, a residential college at Universiti Teknologi MARA, Machang, Kelantan

Kolej Tun Razak, a residential college at Universiti Teknologi Malaysia, Skudai, Johor


== In popular culture ==
Motion picture & television

Malaysian actor Zaefrul Nordin played Razak in 2007 film 1957: Hati Malaya
FFM Award Winning actor Rusdi Ramli portrayed Razak in 2013 film Tanda Putera and won his second FFM for Best Leading Actor.
Malaysian actor Abdul Manan Sulaiman in 2015 film, KapsulStage/Theatre

FFM nominee Rashidi Ishak portrayed Razak in 2009 local theatre production Tun Razak in Istana Budaya.


== References ==


== External links ==

Tun Razak’s legacy – his vision, The Star, 2 March 2008.
The band of brothers C. S. TAN, The Star, 2 March 2008."
36,"Richard Geoffrey Gerard  (4 October 1904 – 26 September 1997) was a New Zealand politician of the National Party, and a cabinet minister.


== Biography ==
Gerard was born in Christchurch in 1904. He received his education at Christ's College and then farmed at Mount Hutt.He represented the Canterbury electorates of Mid-Canterbury from 1943 to 1946, and then the Ashburton electorate from 1946 to 1966 when he retired. He was Minister of Marine under Holland and Holyoake (1957, 1961–1963), Minister of Social Security (1957) under Holland and Holyoake, Minister of Lands under Holyoake (1957, 1960–1966), and Minister of Forests under Holyoake (1957, 1960–1966).He was appointed a Companion of the Order of St Michael and St George for public services in the 1981 New Year Honours.His son Jim followed in his footsteps, representing the Rangiora electorate from 1984.


== Notes ==


== References ==

Gustafson, Barry (1986). The First 50 Years : A History of the New Zealand National Party. Auckland: Reed Methuen. ISBN 0-474-00177-6.
Wilson, James Oakley (1985) [First ed. published 1913]. New Zealand Parliamentary Record, 1840–1984 (4th ed.). Wellington: V.R. Ward, Govt. Printer. OCLC 154283103."
