,0
10,"Młynik [ˈmwɨnik] is a village in the administrative district of Gmina Sośnie, within Ostrów Wielkopolski County, Greater Poland Voivodeship, in west-central Poland. It lies approximately 6 kilometres (4 mi) north of Sośnie, 17 km (11 mi) south-west of Ostrów Wielkopolski, and 109 km (68 mi) south-east of the regional capital Poznań."
11,"The Laughing Dogs were an American rock band, active in the 1970s and associated with the rock/punk scene of New York's CBGB. They released two albums on Columbia."
12,"According to the 2011 census Kottayam district has a population of 1,979,384,  This gives it a ranking of 234th in India (out of a total of 640). The district has a population density of 896 inhabitants per square kilometre (2,320/sq mi). Its population growth rate over the decade 2001–11 was 1.32%. Kottayam has a sex ratio of 1040 females for every 1000 males, and a literacy rate of 96.4%.As per 2011 Indian Census, population in Kottayam includes Hindus (49.81%), Christians (43.48%) and Muslims (6.41%)."
13,"James Caulfeild, 1st Earl of Charlemont KP PC (Ire) (18 August 1728 – 4 August 1799) was an Irish statesman."
14,"Achaea echo is a species of moth of the family Erebidae. It is found from Equatorial West Africa to South Africa., including Sierra Leone, Ghana and Zimbabwe The larvae feed on Poaceae and Panicum species, but have also been recorded on Citrus.

"
15,"The following list are the graphically Latin letters in the Unicode Standard, regardless of whether they are defined as Latin script, as collated by shape (base letter) or by phonetic value. Many are hard-coded formatting variants. For example, the Q series starts out with full-width ｑ, bold 𝐪, italic 𝑞, bold italic 𝒒, script 𝓆, bold script 𝓺, Fraktur 𝔮, double-struck 𝕢, bold Fraktur 𝖖, sans-serif 𝗊, bold sans-serif 𝗾, italic sans-serif 𝘲, bold italic sans-serif 𝙦, monospace 𝚚. Small-capital, superscript, subscript and double-struck italic variants also appear, all of which can be handled by formatting or by choice of font when there is no semantic distinction to maintain."
16,"The David Hall House is a historic house at 25420 W. Cedar Crest Lane in Lake Villa, Illinois. The house was built in 1931 for David and May Cave Hall, a wealthy couple who settled in Lake Villa after taking summer vacations there for many years. Architect Ralph Wesley Varney designed the building in the Art Deco with elements of popular revival styles of the period. An unusual choice for a residential building, the use of Art Deco was likely inspired by May's travels to Hollywood in the 1920s. The house's design includes a rusticated limestone exterior, large Gothic arch windows, a triangular canopy above the entrance, a metal oriel window, and a stepped roof. Its grounds include a swimming pool and terrace garden.The house was added to the National Register of Historic Places on August 25, 2014."
17,Uclesia zonalis is a species of bristle fly in the family Tachinidae. It is found in North America.
18,"The FA Cup 1967–68 is the 87th season of the world's oldest football knockout competition; The Football Association Challenge Cup, or FA Cup for short. The large number of clubs entering the tournament from lower down the English football league system meant that the competition started with a number of preliminary and qualifying rounds. The 30 victorious teams from the Fourth Round Qualifying progressed to the First Round Proper."
19,"The 1970–71 South Pacific cyclone season, in terms of severe tropical cyclones, was the least active season on record, with none of its six storms strengthening above Category 2 tropical cyclone intensity. It was a below average season, beginning late and ending early. The season officially began on November 15 and ended on April 30, but the first storm formed a month after that, on December 15."
20,"Anton Olsen Morken (March 17, 1885 – August 1959) was a Norwegian-born farmer and political figure in Saskatchewan. He represented Canora in the Legislative Assembly of Saskatchewan from 1929 to 1934 as a Liberal.
He was born in Kvam, Oppland in Gudbrand Valley, the son of Ole Eriksen Stormorken and Embjørg Amundsdatter Stormorken (née Stenen), and was educated there. Morken came to Canada in 1906. In 1919, he married Hulda Marie Erickson (née Lindblom). Morken lived in Sturgis, Saskatchewan. He was president of the Sturgis Telephone Company, a member of the local school board, and a founding member of the Sturgis Credit Union. He was also a grain dealer and part owner of a garage. Morken served overseas with the Canadian Army during World War I. He died of a heart attack at the age of 74.Morken Lake, located north of La Ronge, was named in his honour."
21,"Elroy Gelant (born 25 August 1986) is a South African athlete competing primarily in the long-distance events. He finished 12th at the 2012 Indoor and 2013 Outdoor World Championships.
He competed in the men's marathon at the 2020 Summer Olympics."
22,"Viktor Kurmanovych (Ukrainian: Віктор Йосипович Курманович) (26 November 1876, Vilshanytsia near Zolochiv, Galicia and Lodomeria, Austro-Hungary – 18 October 1945, Odessa, Soviet Union) was a Ukrainian politician and military leader.
Kurmanovych was born into a family of the Greek Catholic priest in the village of Vilshanytsia in Galicia. After the local elementary school he was enrolled into the Infanteriekadettenschule Lobzow (Cadet school). Upon graduating from the cadet school Kurmanovych studied at the Austrian Military Academy in Vienna which he finished in 1912. His first assignment was in the Headquarters of General Staff of the Austrian Army where he served in the department of intelligence. In 1914 Kurmanovych was caught by the Russian operatives for spying and imprisoned. Soon in 1915 he was exchanged for some Russian officer and commissioned some Austrian units on the Italy and Bokovyna front-lines until 1918. With the fall of the Austro-Hungarian Empire Kurmanovych pledged his allegiance to the government of West Ukraine.
Kurmanovych was appointed the commander of the Zhovkva Group of Halych Army (HA) and later the Southern Group. After a short while he was included to the Supreme Command of HA and promoted to colonel. Kurmanovych served as the Chief of Staff from February 13 - June 7, 1919 simultaneously performing duties of a State Secretary. When the Halych Army was forced beyond the Zbruch river Kurmanovych's units joined the Ukrainian People's Army and he was promoted to Brigadier General.  On August 11, 1919 he became the Quartermaster General at the General Bulawa (Military Council). However Kurmanovych ran into disagreements with other military specialists in the Headquarters as well as the ongoing typhus epidemic, in September he left for Baden bei Wien, in Austria.
In 1921-1922 Kurmanovych was interned in Deutsch Gabel (Sudetenland). In 1923 he worked at the automobile factory. Kurmanovych cooperated with Mykola Kapustiansky to organize the Organization of Ukrainian Nationalists (OUN). From 1933 to 1938 he lived in Free City of Danzig, after that moved to the Carpathian Ukraine. In April 1945 Kurmanovych was arrested by the Soviet military counter-intelligence SMERSH and transferred to the Soviet Union. He died in the NKVD prison hospital of Odessa."
23,"Alxa Left Banner (Mongolian: ᠠᠯᠠᠱᠠ ᠵᠡᠭᠦᠨ ᠬᠣᠰᠢᠭᠤ Alaša Jegün qosiɣu, Cyrillic: Алшаа зүүн хошуу; Chinese: 阿拉善左旗; pinyin: Ālāshàn Zuǒ Qí) is a banner (administrative division) in the southwest of Inner Mongolia, China. It borders the Republic of Mongolia's Ömnögovi Province to the north, the autonomous region of Ningxia to the southeast, and Gansu province to the southwest. The town of Bayanhot/Bayenhot (Tingyuanying) (巴彦浩特镇), situated in the banner, is the seat of government of the greater Alxa League, of which Alxa Left Banner is a part.
Alxa Left Banner is on the route of provincial highway S218, which is accessible via China National Highway 110 via the city of Wuhai. It is also accessible by air via the Alxa Left Banner Bayanhot Airport.
Ethnic Mongols make up 27% of the banner population.The average elevation is between 800 and 1500 meters above sea level. A large part of the banner is desert.
The banner is subdivided into four subdistricts, 8 towns, and 6 sums and one Economic and Technological Development Zone."
24,"Kenneth George Wookey (30 December 1946 – 16 December 1992) was a Welsh footballer and football manager. A striker, he spent six years in the Football League. His father, also called Ken Wookey, was also a professional footballer.
He started his career with local club Newport County in 1964. After five years with County, he was loaned out to Lovell's Athletic, before signing permanently with Port Vale in 1969. After helping the ""Valiants"" to promotion out of the Fourth Division in 1969–70, he transferred to Workington. In 1971, he dropped into non-league football when he joined Yeovil Town. He later played for Salisbury City, Barry Town, Westland Sports, Chard Town, Glastonbury Town, and Sturminster Newton United. He later managed Sturminster Newton and Shaftesbury."
25,"(Elistan) Patrick Glover  (born 1 February 1944) was the Bishop of Bloemfontein (from 2003, styled 'of the Free State'), from 1997 until his retirement in 2012.He was educated at Keble College, Oxford, and ordained in 1969. He began his career  with curacies at St Peter’s Church, Krugersdorp, and  St Martin’s-in-Veld, Johannesburg. After this he was rector of St Catherine’s, Johannesburg, and then of St George’s, in the same city, before becoming dean of Bloemfontein in 1987. In 1994 he became a suffragan bishop and three years later a diocesan."
26,"Saint-Georges-sur-Eure (French pronunciation: ​[sɛ̃ ʒɔʁʒ syʁ œʁ], literally Saint-Georges on Eure) is a commune in the Eure-et-Loir department in northern France."
27,"Walcrow River, a watercourse of the Manning River catchment, is located in the Northern Tablelands and Mid North Coast districts of New South Wales, Australia."
28,"Hyalopsora is a genus of fungi belonging to the family Pucciniastraceae.The species of this genus are found in Europe, Japan and Northern America."
29,This article discusses the etymology of the word hippie.
30,"Priscila Bosio (born (1994-11-03)3 November 1994) is an Argentine female volleyball player. She is part of the Argentina women's national volleyball team. 
She participated in the 2015 FIVB Volleyball World Grand Prix, and 2018 FIVB Volleyball Women's Nations League
 At club level she played for GELP in 2015 ,Nautico Sportivo Avellaneda in 2021 and    nowadays Feel Volley Alconbendas"
31,"Rhadine infernalis is a species of troglobitic beetle of the family Carabidae. They are endemic to the county of Bexar, Texas. Within this county, R. infernalis has been found in 39 caves. There are 2 named subspecies of R. infernalis: R. infernalis infernalis  and R. infernalis ewersi. There is a third possible subspecies that has not been officially described. R. infernalis was classified in 2000 as endangered under the IUCN Endangered Species Act of 1973, along with 8 other karst invertebrates in the same region. It has the widest known range of the endangered karst invertebrates."
32,"Rhomphaea projiciens is a species of cobweb spider in the family Theridiidae. It is found in a range from the United States to Argentina, and has been introduced into India."
33,"Thorntree, also known as the Witherspoon House, is a historic plantation house located at Kingstree, Williamsburg County, South Carolina.  It was built in 1749 by immigrant James Witherspoon (1700-1765), and is a two-story, five-bay, frame ""I-house"" dwelling with a hall and parlor plan and exterior end chimneys.  It features full-length piazzas on the front and rear elevations. To preserve it, the house was moved from an inaccessible rural site to Kingstree on land donated as a memorial park, known as Fluitt-Nelson Memorial Park. The house has been restored to its 18th-century appearance and is open to the public by appointment with the Williamsburg Historical Society.It was listed in the National Register of Historic Places in 1970."
34,"Jugeumsan is a mountain in Gyeonggi-do, South Korea. Its area extends across the cities of Pocheon, Namyangju and the county of Gapyeong. Jugeumsan  has an elevation of 877.2 m (2,878 ft)."
35,"Zona Franca – Port is an area of Barcelona (Catalonia) in the district of Sants-Montjuïc.  The area includes the Polígon Industrial de la Zona Franca and the Port of Barcelona.
It is in the south of Barcelona and south-east of l'Hospitalet de Llobregat.

"
36,"Clayton Bartolo (born 2 June 1987) is a Maltese Partit Laburista (Labour Party) politician and the Minister for Tourism in Prime Minister Robert Abela's cabinet in early 2020.He was elected as a member of the Parliament of Malta in June 2017.

"
37,"Bebutov (Armenian: Բեհբության, Behbutyan Georgian: ბებუთოვი, bebutovi, Russian: Бебутовы, Bebutovy) or Bebutashvili (Georgian: ბებუთაშვილი, bebutashvili) was a Georgian and Russian noble family of Armenian ethnicity which played an important role in the economical and social life of the city of Tiflis (Tbilisi) throughout the 17th and 18th century, and later served in the military of the Russian Empire in the 19th century.   
The family is known from the early 17th century when they migrated from Armenia to Georgia, and settled down in Tiflis. By the mid-17th century, they had emerged as one of the wealthiest mercantile families in the kingdom of Kartli. In the 18th century, they served as ethnarchs of the Armenians of Tbilisi (with the title of melik-mamasakhlisi), and later also as Grand Masters of the Hunt (mishkarbash) at the Georgian court. In 1783, King Heraclius II of Georgia elevated the family to the title of Princes Bebutov and included it in the list of Georgian nobility attached to the Treaty of Georgievsk with the Russian Empire. After Russian annexation of Georgia (1801), the Bebutov family was received among the princely nobility (knyaz) of the empire in 1826."
38,"Dorothea of Bulgaria (Bulgarian: Доротея, Serbo-Croatian: Doroteja/Доротеја; died c. 1390), also called Doroslava (Дорослава), was the first Queen of Bosnia. Daughter of the Bulgarian tsar Ivan Sratsimir, Dorothea was held hostage by King Louis I of Hungary, who married her off to Ban Tvrtko I of Bosnia in 1374. She became queen in 1377 and may have been the mother of King Tvrtko II."
39,"The International Oral History Association (IOHA) is a professional association established to provide a forum for oral historians around the world. IOHA was formally constituted in June 1996 at the IXth International Oral History Conference in Gothenburg, Sweden. It holds international meetings biennially and publishes a newsletter and journal, Words and Silences/Palabras y Silen, in English and Spanish.In 2019, the book Giving a voice to the Oppressed? The International Oral History Association as an academic network and political movement edited by Agnès Arp, Annette Leo and Franka Maubach was published, tracing the early history of the IOHA."
40,"Muirhead is a small town approximately 7 miles (11 km) north-east of Glasgow city centre. Nearby villages and towns include Chryston, Garnkirk, Gartcosh, Moodiesburn, Lenzie and Stepps. Muirhead has a population of around 1,390.
It is a commuter town to Glasgow with road links with the A80/M80 and frequent bus services the  37c x35, x37, and x3. Muirhead is located approximately two miles from Gartcosh, Lenzie and Stepps railway stations."
41,The men's 4 x 200 metre freestyle relay competition at the 2014 South American Games took place on March 8 at the Estadio Nacional. The last champion was Venezuela.This race consisted of sixteen lengths of the pool. Each of the four swimmers completed four lengths of the pool. The first swimmer had to touch the wall before the second could leave the starting block.
42,"Middlebrook is a census-designated place in Augusta County, Virginia. The population as of the 2010 Census was 213.Middlebrook Historic District, Middlebrook Schools, A. J. Miller House, Henry Mish Barn and Maple Front Farm are listed on the National Register of Historic Places."
43,Statistics of Portuguese Liga in the 1977–78 season.
44,Helenoscoparia helenensis is a moth in the family Crambidae. It was described by Edith Wollaston in 1879. It is found on Saint Helena.
45,"Kasthuri is an Indian Tamil-language soap opera that aired on Sun TV from 21 August 2006 and later a show named 'Madhavi' replaced this serial on 19 April 2010. It shifted at 11.30AM. This serial was replaced by Kanmaneeya and again shifted on 13 December 2011,  telecasted for 1532 episodes. The show starred Easwari Rao, Niya, Latha Sabapathi, Delhi Ganesh, Shyam, Neelima Rani, Aparna and Nithish among others. It was produced by Balaji Telefilms Ekta Kapoor and Shobha Kapoor, and had various directors. It also aired in Sri Lanka on the Tamil channel on Shakthi TV. It is an official remake of Gemini TV series Kalyanee."
46,"Laura Perls (née Lore Posner; 15 August 1905 in Pforzheim – 13 July 1990 in Pforzheim) was a noted German-born psychologist and psychotherapist who helped establish the Gestalt school of psychotherapy. She was the wife of Friedrich (Frederick) Perls, also a renowned psychotherapist and psychiatrist."
47,"Nong Bua City Football Club (Thai หนองบัว ซิตี้), is a Thai football club based in Nong Bua Lamphu, Thailand. The club is currently playing in the 2017 Thailand Amateur League North Eastern Region."
48,Dialium travancoricum is a critically endangered species of plant in the family Fabaceae. It is found only in Kerala India specifically around the Travancore range near Ponmudi and Ariankavu. It is threatened by habitat loss.
49,"The 1948–49 Divizia B was the 10th season of the second tier of the Romanian football league system.
The format was changed from four series of 16 teams to two series, each one of them having 14 teams. At the end of the season the winners of the series has been promoted in the Divizia A and the last five teams from the each series relegated to Divizia C."
50,"Buddha Samyak Darshan Museum and Memorial Stupa is a  proposed museum and stupa to house the Buddha relic, which was found in archeological excavation in Vaishali. The Bihar state cabinet gave nod for its construction on 9 February 2013, but construction was commenced only on 20 February 2019, inaugurated by Bihar chief minister Nitish Kumar. The museum will be built over 72 acres of land with a budget of ₹315 crore. The entire structure will be built of stone and Indian Institute of Technology Delhi is providing technical support for its construction."
51,"Richard J. Daly is an American business executive. He was the President and Chief Executive Officer of Broadridge Financial Solutions, a multibillion-dollar company.  In 2003, he won the Ernst & Young Entrepreneur of the Year Award.

"
52,"Sir Amaravati Seshayya Sastri  (22 March 1828 – 29 October 1903), or Sashiah Sastri, was an Indian administrator who served as the Diwan of Travancore from May 1872 to 4 May 1877 and as the Diwan of Pudukkottai from 1878 to 1894. He is credited with having modernized the city of Pudukkottai.
Seshayya Sastri was born in the village of Amaravati in Tanjore district, Madras Presidency in 1828 in a poor Hindu family. At the age of nine, Seshayya Sastri moved to Madras city with his uncle Gopala Aiyer. Seshayya Sastri had his schooling and higher education in Madras and graduated in 1848 in first class.
In 1848, Seshayya Sastri was employed as a clerk in the Revenue Office and  rose to become Tahsildar, Naib Sheristadar and later, Head Sheristadar. In 1872, Seshayya Sastri was appointed Diwan of Travancore and served from 1872 to 1877, when palace intrigues forced him to quit. Seshayya Sastri served as Diwan of Pudukkottai from 1878 to 1886 and Diwan-Regent from 1886 to 1894. He rebuilt the town of Pudukkottai and created the Pudukulam Lake. Seshayya Sastri retired from service in 1894. He died on 29 October 1903 at the age of 75.
Seshayya Sastri was made a Knight Commander of the Order of the Star of India in 1902."
53,"The 1899 Oregon Webfoots football team represented the University of Oregon in the 1899 college football season. It was the Webfoots' sixth season; they competed as an independent and were led by head coach Frank W. Simpson in his second year. They finished the season with a record of three wins, two losses and one tie (3–2–1)."
54,"Gantihole is a village in Udupi district, Karnataka, India."
55,"Apache Qpid is an open-source messaging system which implements the Advanced Message Queuing Protocol (AMQP). It provides transaction management, queuing, distribution, security, management, clustering, federation and heterogeneous multi-platform support. The Apache Qpid API supports multiple programming languages and comes with both C++ (for Perl, Python, Ruby, .NET etc.) and Java (JMS API) brokers."
56,"Scarborough Spa is a Grade II* listed building in South Bay, Scarborough, North Yorkshire, England. It is a venue for conferences, exhibitions, entertainment, live music and events on the Yorkshire Coast. Originally built around the source of Scarborough's spa waters, it is owned and managed by Scarborough Borough Council.The Spa has a Grand Hall, which seats 1,500 and hosts live entertainment including the Scarborough Spa Orchestra and the annual Scarborough Jazz Festival. The Spa Theatre, a 557-seat Victorian theatre, is home to summer season shows and Christmas pantomimes. The Spa Ocean Room is used for dances, conferences and other events, including the Scarborough Jazz Festival and Coastival.
The Victorian Cliff Tramway is a funicular railway that links the Spa complex with South Cliff, 200 ft above the South Bay."
57,"At WBAI's Free Music Store, 1971 (also released as N.Y.N.Y. 1971) is a live album by multi-instrumentalist and composer Joe McPhee recorded in 1971 and first released on the Swiss HatHut label in 1996."
58,"Burke Lake Park is a public park located in Fairfax Station, Fairfax County, Virginia, United States. It encompasses Burke Lake. The Fairfax County public park is owned by the Fairfax County Park Authority (FCPA). It was built on land that was purchased by the federal government in the 1950s for an international airport, before the site of Dulles Airport was chosen as a replacement.

"
59,"The Carcoar Chronicle was a weekly newspaper published from 1863 to 1943 in Carcoar, New South Wales, Australia. It was also published as the Carcoar Chronicle and Blayney and Cowra Gazette, Carcoar Chronicle and Mandurama, Lyndhurst, Galley Swamp, Garland, Burnt Yards, Neville, Flyers's Creek, Forest Reefs, Woodstock and Blayney Herald and Carcoar Chronicle and Agricultural and Mining Journal."
60,"Albania has competed at every celebration of the Mediterranean Games since the 1987 Mediterranean Games. As of 2022, Albanian athletes have won a total of 49 medals. The country's ranking in the history of the Games is the 17th place."
61,Maria Dinulescu (Romanian pronunciation: [maˈri.a dinuˈlesku]; born 2 May 1981 in Ploieşti) is a Romanian actress.
62,Zinc transporter 1 is a protein which in humans is encoded by the SLC30A1 gene.
63,"The Noxen School, also known as Noxen High School, is a historic school building located in Noxen Township, Wyoming County, Pennsylvania. The original section was built in 1897, and is a 2+1⁄2-story, T-shaped frame building.  It has a two classroom addition built in 1922.  Originally built as a grade school, it was used as the high school from 1902 to 1951. It then housed an elementary school until closed in 1976.  It has since been used for a variety of commercial and institutional purposes.It was added to the National Register of Historic Places in 2006."
64,"Pearl Cole McMullen (January 19, 1884 – May 22, 1952) was the president of the Matinee Musical Club, Los Angeles, and a dramatic soprano.
She was born in Kansas on January 19, 1884. She married Philip W. McMullen. She died in Los Angeles, California, on May 22, 1952.

She is buried at Hollywood Forever Cemetery, Los Angeles."
65,"Chociszewko [xɔt͡ɕiˈʂɛfkɔ] is a settlement in the administrative district of Gmina Skoki, within Wągrowiec County, Greater Poland Voivodeship, in west-central Poland."
66,"Sphaceloma is a genus of ascomycete fungi. Its species are plant pathogens, and cause anthracnose and scab diseases. The widespread genus is estimated to contain 52 species."
67,"Cardiff South Wales MCC University, formerly Cardiff University Centre of Cricketing Excellence, was formed in 2001, and first appeared in first-class cricket in 2012. The players in this list have all played at least one first-class match for Cardiff MCCU.
Players are listed in order of appearance, where players made their debut in the same match, they are ordered by batting order."
68,Microbacterium endophyticum is a bacterium from the genus Microbacterium which has been isolated from the plant Halimione portulacoides from the Ria de Aveiro in Portugal.
69,"Leptaxis erubescens is a species of air-breathing land snail, a terrestrial pulmonate gastropod mollusk in the family Helicidae, the typical snails."
70,"Parliamentary elections were held in Ukraine on 31 March 2002. The Our Ukraine bloc emerged as the largest faction in the Verkhovna Rada, winning 111 of the 447 seats.The Organization for Security and Co-operation in Europe noted at the time that there were physical assaults and harassment of candidates and campaign workers associated with opposition political parties prior to the March election. The Yulia Tymoshenko Bloc complained of campaign related violations including ""an informal 'media blackout,' [and] negatively slanted coverage""."
71,The 1906–07 Princeton Tigers men's ice hockey season was the 8th season of play for the program.
72,"A drywall anchor, also known as a wall anchor, is an insert that, combined with the appropriate screw, can create a strong mount anywhere on a drywall panel or similar hollow wall.  A drywall anchor goes between the screw and the drywall, gripping the drywall much more effectively than a screw would.  Some have toggle arms that either drop behind the wall or expand within the cavity.  Others include wide threads that carve out grooves in the wall for traction.  All drywall anchors are designed to create a strong mount point by distributing the applied load over an increased surface area.
Drywall anchors are used when creating a mount point that does not have a wall stud behind it.There are many types of drywall anchors.  A few common ones include expandable metal anchors (molly bolts), WallClaw anchors, toggle bolts, and self-drilling drywall anchors."
73,"Soil gradation is a classification of a coarse-grained soil that ranks the soil based on the different particle sizes contained in the soil. Soil gradation is an important aspect of soil mechanics and geotechnical engineering because it is an indicator of other engineering properties such as compressibility, shear strength, and hydraulic conductivity. In a design, the gradation of the in situ or on site soil often controls the design and ground water drainage of the site. A poorly graded soil will have better drainage than a well graded soil, if it is not high in clay quality.
Soil is graded as either well graded or poorly graded. Soil gradation is determined by analyzing the results of a sieve analysis
 or a hydrometer analysis.The process for grading a soil is in accordance with either the Unified Soil Classification System or the AASHTO Soil Classification System. Gradation of a soil is determined by reading the grain size distribution curve produced from the results of laboratory tests on the soil. Gradation of a soil can also be determined by calculating the coefficient of uniformity, Cu, and the coefficient of curvature, Cc, of the soil and comparing the calculated values with published gradation limits."
74,"367943 Duende (provisional designation 2012 DA14) is a micro-asteroid and a near-Earth object of the Aten and Atira group, approximately 30 meters (98 ft) in diameter. It was discovered by astronomers of the Astronomical Observatory of Mallorca at its robotic La Sagra Observatory in 2012, and named for the duende, a goblin-like creature from Iberian and Filipino mythology and folklore. Duende is likely an uncommon L-type asteroid and significantly elongated. For an asteroid of its size, it has a relatively long rotation period of 9.485 hours.On 15 February 2013, Duende passed at a record distance of 27,700 km (17,200 mi) or 4.3 Earth radii from Earth's surface. Due to its close passage, its orbit was perturbed significantly enough that it changed from an Apollo asteroid to an Aten asteroid.  Duende's passage also coincided with the completely unrelated Chelyabinsk meteor, which entered Earth's atmosphere above Russia just 16 hours earlier."
75,"The axiom of constructibility is a possible axiom for set theory in mathematics that asserts that every set is constructible. The axiom is usually written as V = L, where V and L denote the von Neumann universe and the constructible universe, respectively. The axiom, first investigated by Kurt Gödel, is inconsistent with the proposition that zero sharp exists and stronger large cardinal axioms (see list of large cardinal properties). Generalizations of this axiom are explored in inner model theory."
76,"John Conrad Moser (1929 near Columbus, Ohio, United States; – August 26, 2015 in Pineville, Louisiana, United States)  was an American zoologist, forestry researcher. entomologist and acarologist. He conducted research on the leafcutter ant Atta texana and the red imported fire ant Solenopsis invicta and focused his studies not only on these ants, but specifically also to the mite fauna, being associated with these insects. Also bark beetles, Scolytinae, and associated mites were a remarkable part of his pioneering research contributions. His extensive mite collection contains countless species of different major mite-taxa from around the world, with most of them representing phoretic species, which use insects to be carried to their new habitats. Moser described numerous new mite species and some species are also named after him.
He was an active researcher far beyond his retirement. The internationally well known long-term scientist spent over 50 years of important scientific activity at the Forest Service, U.S. Department of Agriculture, Southern Research Station at the Alexandria Forestry Center in Pineville. Moser's scientific contributions need to be considered as pioneering, because he early recognized the importance of research fields, which were in these times out of the mainstream of forest entomological research. Moser and colleagues for example discovered that several phoretic mite species contribute to the transmission of the Dutch elm disease by carrying fungal spores of the Ascomycete fungus Ophiostoma novo-ulmi. A surprising result of these studies was that the mite Tarsonemus crassus carries the spores in specific structures, the so-called sporothecae.
John C. Moser was well known searching for cooperations with scientists from around the world and for supporting specifically younger researchers. Recently his contributions are the basis for the research of insect-mite-interactions worldwide. Moser published in the most prestigious international scientific journals, such as Science in the United States, Nature in the United Kingdom or Naturwissenschaften in Germany."
77,"Christos Niaros (Greek: Χρήστος Νιάρος; born 20 February 1990) is a Greek professional footballer who plays as a left-back for Super League 2 club Trikala, for which he is captain."
